TC1_PP_Pleuronectes_platessa,TC1
TC1_RT_Rana_temporaria,TC1
SPIN_Et_Echinops_telfairi,SPIN
SPIN_Ml_Myotis_lucifugus,SPIN
SPIN_NA_1_Et_Echinops_telfairi,SPIN
SPIN_NA_1_Og_Otolemur_garnettii,SPIN
SPIN_NA_2_Og_Otolemur_garnettii,SPIN
SPIN_NA_3_Md_Monodelphis_domestica,SPIN
SPIN_NA_4_Md_Monodelphis_domestica,SPIN
SPIN_NA_6_Et_Echinops_telfairi,SPIN
SPIN_Og_Otolemur_garnettii,SPIN
URR1_Rodentia,URR1
SPIN_Et_Echinops_telfairi,SPIN
SPIN_Ml_Myotis_lucifugus,SPIN
SPIN_NA_1_Et_Echinops_telfairi,SPIN
SPIN_NA_1_Og_Otolemur_garnettii,SPIN
SPIN_NA_2_Og_Otolemur_garnettii,SPIN
SPIN_NA_3_Md_Monodelphis_domestica,SPIN
SPIN_NA_4_Md_Monodelphis_domestica,SPIN
SPIN_NA_6_Et_Echinops_telfairi,SPIN
SPIN_Og_Otolemur_garnettii,SPIN
URR1_Rodentia,URR1
hAT-1N1_AC_Anolis_carolinensis,hAT-1N1
hAT-2N1_AC_Anolis_carolinensis,hAT-2N1
hAT-2N1_ET_Echinops_telfairi,hAT-2N1
hAT-2N1_ML_ Myotis_lucifugus,hAT-2N1
hAT-2N1_MM_Microcebus_murinus,hAT-2N1
hAT-2N1_TS_Carlito_syrichta,hAT-2N1
hAT-2N2_ML_Myotis_lucifugus,hAT-2N2
hAT-2N2_TS_Carlito_syrichta,hAT-2N2
hAT-2N3_TS_Carlito_syrichta,hAT-2N3
hAT-2_AC_Anolis_carolinensis,hAT-2
hAT-1_MD_Monodelphis_domestica,hAT-1
hAT-2-h_SM_Schmidtea_mediterranea,hAT-2-h
npiggy1_Mm_Microcebus_murinus,npiggy1
npiggy2_Mm_Microcebus_murinus,npiggy2
npiggy3_Mm_Microcebus_murinus,npiggy3
piggyBac1_Mm_Microcebus_murinus,piggyBac1
piggyBac2b_Mm_Microcebus_murinus,piggyBac2b
piggyBac2_Mm_Microcebus_murinus,piggyBac2
piggyBac_2a_Mm_Microcebus_murinus,piggyBac
Dcardi9_Drosophila_cardini,Dcardi9
Slatif1cons_Scaptodrosophila_latifasciaeformis,Slatif1cons
Slatif2cons_Scaptodrosophila_latifasciaeformis,Slatif2cons
Slatif16_Scaptodrosophila_latifasciaeformis,Slatif16
Slatif1cons_Scaptodrosophila_latifasciaeformis,Slatif1cons
Slatif2cons_Scaptodrosophila_latifasciaeformis,Slatif2cons
Dcardi9_Drosophila_cardini,Dcardi9
Dmedtr1cons_Drosophila_mediostriata,Dmedtr1cons
Dparam1cons_Drosophila_paramediostriata,Dparam1cons
Dparam2cons_Drosophila_paramediostriata,Dparam2cons
Daraw1cons_Drosophila_arawakana,Daraw1cons
Dneoca1_Drosophila_neocardini,Dneoca1
Mariner-1_DAr_Drosophila_arawakana,Mariner-1
Daraw1cons_Drosophila_arawakana,Daraw1cons
Dneoca1_Drosophila_neocardini,Dneoca1
Dparag19_Drosophila_paraguayensis,Dparag19
Dparag30_Drosophila_paraguayensis,Dparag30
Mariner-1_DAr_Drosophila_arawakana,Mariner-1
Dneoca1_Drosophila_neocardini,Dneoca1
Dneoca19_Drosophila_neocardini,Dneoca19
Dneoca1cons_Drosophila_neocardini,Dneoca1cons
Dparag19_Drosophila_paraguayensis,Dparag19
Dparag30_Drosophila_paraguayensis,Dparag30
Dparag19_Drosophila_paraguayensis,Dparag19
Dparag30_Drosophila_paraguayensis,Dparag30
Dneoca1_Drosophila_neocardini,Dneoca1
Dneoca19_Drosophila_neocardini,Dneoca19
Dneoca1cons_Drosophila_neocardini,Dneoca1cons
Daraw1cons_Drosophila_arawakana,Daraw1cons
Dneoca1_Drosophila_neocardini,Dneoca1
Dneoca19_Drosophila_neocardini,Dneoca19
Dneoca1cons_Drosophila_neocardini,Dneoca1cons
Mariner-1_DAr_Drosophila_arawakana,Mariner-1
Dbusck2cons_Drosophila_busckii,Dbusck2cons
Dbuski1cons_Drosophila busckii,Dbuski1cons
Dmacul5_Drosophila_maculifrons,Dmacul5
Mariner-1_DMac_Drosophila_maculifrons,Mariner-1
Mariner-2_DMac_Drosophila_maculifrons,Mariner-2
Dbusck2cons_Drosophila_busckii,Dbusck2cons
Dbuski1cons_Drosophila_busckii,Dbuski1cons
Dpauli6_Drosophila_paulistorum,Dpauli6
Dmacul5_Drosophila_maculifrons,Dmacul5
Dpauli6_Drosophila_paulistorum,Dpauli6
Mariner-1_DMac_Drosophila_maculifrons,Mariner-1
Mariner-2_DMac_Drosophila_maculifrons,Mariner-2
Dbusck2cons_Drosophila_busckii,Dbusck2cons
Dbuski1cons_Drosophila_busckii,Dbuski1cons
GYPSY_DS_Drosophila_subobscura,GYPSY
npiggy1_Mm_Microcebus_murinus,npiggy1
npiggy2_Mm_Microcebus_murinus,npiggy2
npiggy3_Mm_Microcebus_murinus,npiggy3
piggyBac1_Mm_Microcebus_murinus,piggyBac1
piggyBac2b_Mm_Microcebus_murinus,piggyBac2b
piggyBac2_Mm_Microcebus_murinus,piggyBac2
piggyBac_2a_Mm_Microcebus_murinus,piggyBac
HaSE1_Helicoverpa_armigera,HaSE1
HaSE2_DP_Danaus_plexippus,HaSE2
HaSE3_Helicoverpa_armigera,HaSE3
P_DB_Drosophila_bifasciata,P
SINE_SM_Prosopium_spilonotus,SINE
SMAIDIV_Oncorhynchus_keta,SMAIDIV
MARINA_Holometabola,MARINA
CRMAR_Ceratitis_rosa,CRMAR
ICEberg|217|ICEBat1942-1|GenBank|CP002207|4164708|4168266_Bacillus_atrophaeus_1942_chromosome_complete_genome,ICEBat1942-1
ICEberg|2|CTn341|GenBank|AY515263|1|51993_Bacteroides_fragilis_conjugative_transposon_CTn341_complete_sequence_,CTn341
ICEberg|12|ICEVchBan5|GenBank|GQ463140|1|102122_Vibrio_cholerae_Ban5_integrating_conjugative_element_ICEVchban5_complete_sequence_,ICEVchBan5
ICEberg|16|ICEVchBan9|GenBank|CP001485|2958347|3066049_Vibrio_cholerae_MJ-1236_chromosome_1_complete_sequence_,ICEVchBan9
ICEberg|21|ICEVchInd4|GenBank|GQ463141|1|95326_Vibrio_cholerae_Ind4_integrating_conjugative_element_ICEVchind4_complete_sequence_,ICEVchInd4
ICEberg|22|ICEVchInd5|GenBank|GQ463142|1|97952_Vibrio_cholerae_Ind5_integrating_conjugative_element_ICEVchind5_complete_sequence_,ICEVchInd5
ICEberg|23|ICEVchMex1|GenBank|GQ463143|1|83194_Vibrio_cholerae_Mex1_integrating_conjugative_element_ICEVchmex1_complete_sequence_,ICEVchMex1
